Plant Code,Generator ID,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),time
141,PV-3,N, ,N, ,2021
645,1,N, ,N, ,2021
944,12,N, ,N, ,2021
960,SOL1,Y,0.3,N, ,2021
1016,10,N, ,N, ,2021
1172,SO,N, ,N, ,2021
1355,SOLAR,N, ,N, ,2021
2240,SLR1,N, ,N, ,2021
2240,SLR2,N, ,N, ,2021
2854,YS1,N, ,N, ,2021
2953,SLR1,N, ,N, ,2021
6074,5,N, ,N, ,2021
6081,5051S,N, ,N, ,2021
6304,PV1,N, ,N, ,2021
6304,PV2,N, ,N, ,2021
6304,PV3,N, ,N, ,2021
6304,PV4,N, ,N, ,2021
6304,PV5,N, ,N, ,2021
6304,PV6,N, ,N, ,2021
6304,PV7,N, ,N, ,2021
6304,PV8,N, ,N, ,2021
8223,SGSS,N, ,N, ,2021
8223,SGSS1,N, ,N, ,2021
8223,WMS,N, ,N, ,2021
10029,PV,N, ,N, ,2021
10224,SOLAR,N, ,N, ,2021
10334,PV1,N, ,N, ,2021
10437,SUN2,N, ,N, ,2021
10438,SUN3,N, ,N, ,2021
10446,GEN1,X, ,X, ,2021
10823,PV101,N, ,N, ,2021
50061,GEN5,Y,0.1,N, ,2021
50061,GEN6,Y,0.4,N, ,2021
50061,GEN7,Y,0.3,N, ,2021
50061,GEN8,Y,0.1,N, ,2021
50765,1,N, ,N, ,2021
54569,CPV1,N, ,N, ,2021
56228,PV1,N, ,N, ,2021
56322,WHS1,N, ,N, ,2021
56405,ONE,X, ,X, ,2021
56481,1,Y,1,N, ,2021
56481,2,Y,7.2,N, ,2021
56500,PV1,N, ,N, ,2021
56568,NS1,N, ,N, ,2021
56568,NS2,N, ,N, ,2021
56568,NS3,N, ,N, ,2021
56667,0001,N, ,N, ,2021
56667,0002,N, ,N, ,2021
56667,0003,N, ,N, ,2021
56667,0004,N, ,N, ,2021
56667,0005,N, ,N, ,2021
56667,0006,N, ,N, ,2021
56667,0007,N, ,N, ,2021
56667,0008,N, ,N, ,2021
56667,0009,N, ,N, ,2021
56667,0010,N, ,N, ,2021
56667,0011,N, ,N, ,2021
56667,0012,N, ,N, ,2021
56768,CR1,N, ,N, ,2021
56812,GEN 1,N, ,N, ,2021
56812,GEN2,N, ,N, ,2021
56813,1,Y,0.5,N, ,2021
56813,2,Y,0.5,N, ,2021
56814,PV1,Y,0.5,N, ,2021
56814,PV2,Y,0.5,N, ,2021
56815,1,Y,1.8,N, ,2021
56862,1,Y,0.3,N, ,2021
56862,2,Y,0.3,N, ,2021
56862,3,Y,0.3,N, ,2021
56862,4,Y,0.3,N, ,2021
56875,TBD,N, ,N, ,2021
56877,TBD,Y,1.8,N, ,2021
56883,GEN 1,N, ,N, ,2021
56883,GEN 2,N, ,N, ,2021
56883,GEN 3,N, ,N, ,2021
56883,GEN 4,N, ,N, ,2021
56883,GEN 5,N, ,N, ,2021
56883,GEN 6,N, ,N, ,2021
56883,GEN 7,N, ,N, ,2021
56883,GEN 8,N, ,N, ,2021
56883,GEN 9,N, ,N, ,2021
56883,GEN10,N, ,N, ,2021
56888,GEN 1,N, ,N, ,2021
56888,GEN 2,N, ,N, ,2021
56888,GEN 3,N, ,N, ,2021
56888,GEN 4,N, ,N, ,2021
56889,GEN 1,N, ,N, ,2021
56900,1,Y,0.4,N, ,2021
56900,2,Y,0.4,N, ,2021
56900,3,Y,0.4,N, ,2021
56900,4,Y,0.4,N, ,2021
56909,1,Y,0.3,N, ,2021
56909,2,Y,0.3,N, ,2021
56909,3,Y,0.3,N, ,2021
56909,4,Y,0.3,N, ,2021
56915,1,N, ,N, ,2021
56915,2,N, ,N, ,2021
56915,3,N, ,N, ,2021
56915,4,N, ,N, ,2021
56917,1,N, ,N, ,2021
56917,1A,N, ,N, ,2021
56917,1B,N, ,N, ,2021
56922,EAST,Y,0.5,N, ,2021
56922,WEST,Y,1,N, ,2021
56929,1,N, ,N, ,2021
56930,1,N, ,N, ,2021
56938,NCP1,N, ,N, ,2021
56939,1,N, ,N, ,2021
56944,PV01,N, ,N, ,2021
56966,1,N, ,N, ,2021
56966,2,N, ,N, ,2021
56993,MESA,N, ,N, ,2021
56996,S1A,N, ,N, ,2021
56996,S1B,N, ,N, ,2021
57004,1,Y,1,N, ,2021
57005,1,Y,1,N, ,2021
57006,1,Y,1,N, ,2021
57007,1,N, ,N, ,2021
57008,1,Y,1,N, ,2021
57009,1,Y,1,N, ,2021
57010,1,N, ,N, ,2021
57011,1,N, ,N, ,2021
57012,1,Y,1,N, ,2021
57041,1,N, ,N, ,2021
57073,ST1,X, ,X, ,2021
57074,ST1,X, ,X, ,2021
57075,ST1,X, ,X, ,2021
57081,CVS1,N, ,N, ,2021
57081,CVS2,N, ,N, ,2021
57141,CSU1,N, ,N, ,2021
57191,ECS1,N, ,N, ,2021
57197,1,N, ,N, ,2021
57200,1,N, ,N, ,2021
57202,1,N, ,N, ,2021
57203,1,N, ,N, ,2021
57204,1,N, ,N, ,2021
57205,PV02,N, ,N, ,2021
57205,PV03,N, ,N, ,2021
57205,PV04,N, ,N, ,2021
57205,PV05,N, ,N, ,2021
57205,PV06,N, ,N, ,2021
57216,1,N, ,N, ,2021
57216,2,N, ,N, ,2021
57216,3,N, ,N, ,2021
57217,S003A,N, ,N, ,2021
57217,S003B,N, ,N, ,2021
57219,S005A,N, ,N, ,2021
57219,S005B,N, ,N, ,2021
57219,S005C,N, ,N, ,2021
57219,S005D,N, ,N, ,2021
57219,S005E,N, ,N, ,2021
57220,S006A,N, ,N, ,2021
57220,S006B,N, ,N, ,2021
57220,S006C,N, ,N, ,2021
57220,S006D,N, ,N, ,2021
57221,S007A,N, ,N, ,2021
57221,S007B,N, ,N, ,2021
57221,S007C,N, ,N, ,2021
57221,S007D,N, ,N, ,2021
57221,S007E,N, ,N, ,2021
57222,S008A,N, ,N, ,2021
57222,S008B,N, ,N, ,2021
57222,S008C,N, ,N, ,2021
57222,S008D,N, ,N, ,2021
57223,S009A,N, ,N, ,2021
57223,S009B,N, ,N, ,2021
57224,S010A,N, ,N, ,2021
57224,S010B,N, ,N, ,2021
57224,S010C,N, ,N, ,2021
57225,S011A,N, ,N, ,2021
57225,S011B,N, ,N, ,2021
57225,S011C,N, ,N, ,2021
57225,S011D,N, ,N, ,2021
57225,S011E,N, ,N, ,2021
57225,S011F,N, ,N, ,2021
57225,S011G,N, ,N, ,2021
57226,S012A,N, ,N, ,2021
57227,S013A,N, ,N, ,2021
57227,S013B,N, ,N, ,2021
57227,S013C,N, ,N, ,2021
57227,S013D,N, ,N, ,2021
57227,S013E,N, ,N, ,2021
57227,S013F,N, ,N, ,2021
57227,S013G,N, ,N, ,2021
57229,S015A,N, ,N, ,2021
57229,S015B,N, ,N, ,2021
57229,S015C,N, ,N, ,2021
57229,S015D,N, ,N, ,2021
57229,S015E,N, ,N, ,2021
57229,S015F,N, ,N, ,2021
57229,S015G,N, ,N, ,2021
57230,S016A,N, ,N, ,2021
57230,S016B,N, ,N, ,2021
57230,S016C,N, ,N, ,2021
57231,S017A,N, ,N, ,2021
57231,S017B,N, ,N, ,2021
57231,S017C,N, ,N, ,2021
57231,S017D,N, ,N, ,2021
57231,S017E,N, ,N, ,2021
57231,S017F,N, ,N, ,2021
57231,S017G,N, ,N, ,2021
57232,S018A,N, ,N, ,2021
57232,S018B,N, ,N, ,2021
