Utility ID,Generator ID,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned,time
10633,T4,Lamar,CO,81052,712,1.0,2022
10171,SOLAR,Lexington,KY,40507,10171,0.61,2022
10171,SOLAR,Louisville,KY,40202,11249,0.39,2022
13206,20,Brooklyn,NY,11201,13433,1.0,2022
21013,10,Sun Prairie,WI,53590,20858,1.0,2022
21013,9,Sun Prairie,WI,53590,20858,1.0,2022
16534,1,Trowbridge,CA,95659,42741,1.0,2022
16534,1,Sacramento,CA,95852,21478,1.0,2022
16534,1,Sacramento,CA,95852,21574,1.0,2022
16534,1,Sacramento,CA,95851,56089,1.0,2022
16534,2,Sacramento,CA,95852,21574,1.0,2022
16534,2,Sacramento,CA,95851,56089,1.0,2022
16534,3,New York,NY,10012,60105,1.0,2022
16534,3,Sacramento,CA,95851,56089,1.0,2022
7049,PV,Boulder,CA,80301,60572,1.0,2022
49846,PV1,Kapolei,HI,96707,56567,1.0,2022
60246,SUN2,Boise,ID,83701,60254,1.0,2022
60247,SUN3,Boise,ID,83701,60255,1.0,2022
2770,EXIS,Mojave,CA,93501,2818,1.0,2022
2770,EXIS,Juno Beach,FL,33408,29704,1.0,2022
2770,WGN1,Mojave,CA,93501,29988,1.0,2022
2770,WGN1,Mojave,CA,93501,29986,1.0,2022
50131,1,Reno,NV,89502,56782,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,GEWE,Boston,MA,2109,4579,1.0,2022
64260,SX1S,Boston,MA,2109,4579,1.0,2022
64260,SX1S,Boston,MA,2109,4579,0.999,2022
64260,SX1S,Tehachapi,CA,93561,56959,0.001,2022
57170,GEN2,San Diego,CA,92128,60122,1.0,2022
2770,EXIS,Mojave,CA,93501,2818,1.0,2022
2770,EXIS,Juno Beach,FL,33408,29704,1.0,2022
2770,EXIS,Mojave,CA,93501,2818,1.0,2022
2770,EXIS,Juno Beach,FL,33408,29704,1.0,2022
2770,WGN1,Mojave,CA,93501,29988,1.0,2022
2770,WGN1,Mojave,CA,93501,29986,1.0,2022
2770,WIND,Big Spring,TX,79720,2793,1.0,2022
61219,NMO1,Rosemead,CA,91770,34505,0.75,2022
61219,NMO1,New York,NY,10013,56436,0.25,2022
61219,6150,Rosemead,CA,91770,34505,0.75,2022
61219,6150,New York,NY,10013,56436,0.25,2022
54725,TN30,Andover,MA,1810,49932,1.0,2022
54725,SU30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,SU30,Andover,MA,1810,49932,0.49,2022
54725,JH30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,JH30,Andover,MA,1810,49932,0.49,2022
54725,JM30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,JM30,Andover,MA,1810,49932,0.49,2022
54725,JR30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,JR30,Andover,MA,1810,49932,0.49,2022
54725,AH30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,AH30,Andover,MA,1810,49932,0.49,2022
54725,WS30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,WS30,Andover,MA,1810,49932,0.49,2022
54725,TL30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,TL30,Andover,MA,1810,49932,0.49,2022
54725,SH30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,SH30,Andover,MA,1810,49932,0.49,2022
54725,SR30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,SR30,Andover,MA,1810,49932,0.49,2022
54725,RR30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,RR30,Andover,MA,1810,49932,0.49,2022
54725,HC30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,HC30,Andover,MA,1810,49932,0.49,2022
54725,HR30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,HR30,Stamford,CT,6901,38002,0.49,2022
54725,FH30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,FH30,Andover,MA,1810,49932,0.49,2022
54725,AB30,Vadnais Heights,MN,55127,13644,0.51,2022
54725,AB30,Andover,MA,1810,49932,0.49,2022
62136,EXIS,Houston,TX,77046,62137,1.0,2022
17058,GEN1,San Diego,CA,92108,17060,0.5,2022
17058,GEN1,New York,NY,10017,56186,0.5,2022
2770,A1,Cincinnati,OH,45202,16027,1.0,2022
13866,NWP2,Miami,FL,33102,6452,1.0,2022
