Plant Code,Generator ID,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),time
54979,WIND,46,Vestas,V47-660,22.4,1,180.0,2020
55125,WGNS,38,Vestas,V47-660,22.4,1,164.0,2020
55208,EXIS,139,Zond,Z-48,16.0,1,175.0,2020
55265,EXIS,137,Zond,Z-50,18.4,2,168.0,2020
55287,EXIS,102,Zond,Z-50,16.5,1,217.0,2020
55342,WIND,4,GE,2.3-116,17.9,3,262.5,2020
55353,NMO1,15,Micon,M750-400/100,15.2,1,164.0,2020
55354,6150,18,Vestas,V47-660,15.9,2,213.0,2020
55368,V47,10,Vestas,V47-660,24.0,2,180.0,2020
55396,WGNS,22,Zond,Z-50,19.0,2,295.0,2020
55560,V-47,268,Vestas,V47-660,22.4,1,164.0,2020
55561,TN30,3,Vestas,V47-660,24.0,1,213.0,2020
55562,SU30,3,Vestas,V47-660,24.0,1,213.0,2020
55563,JH30,3,Vestas,V47-660,24.0,1,213.0,2020
55564,JM30,3,Vestas,V47-660,24.0,1,213.0,2020
55565,JR30,3,Vestas,V47-660,24.0,1,213.0,2020
55566,AH30,3,Vestas,V47-660,24.0,1,213.0,2020
55567,WS30,3,Vestas,V47-660,24.0,1,213.0,2020
55568,TL30,3,Vestas,V47-660,24.0,1,213.0,2020
55569,SH30,3,Vestas,V47-660,24.0,1,213.0,2020
55570,SR30,3,Vestas,V47-660,24.0,1,213.0,2020
55571,RR30,3,Vestas,V47-660,24.0,1,213.0,2020
55572,HC30,3,Vestas,V47-660,24.0,1,213.0,2020
55573,HR30,3,Vestas,V47-660,24.0,1,213.0,2020
55574,FH30,3,Vestas,V47-660,24.0,1,213.0,2020
55576,AB30,3,Vestas,V47-660,24.0,1,213.0,2020
55579,EXIS,80,Mitsubishi,MWT-1000,21.3,1,213.2,2020
55581,EXIS,214,Siemens,SWT-1.3-62,19.0,2,203.4,2020
55607,GEN1,69,Mitsubishi,MWT-450,17.0,1,131.0,2020
55719,GEN2,37,Mitsubishi,MWT-600 (45m),26.8,1,196.8,2020
55719,GENI,74,Mitsubishi,MWT-600 (45m),26.8,1,196.8,2020
55734,V47,170,Gamesa,G47,22.4,1,213.3,2020
55739,GEN1,40,Mitsubishi,MWT-600 (47m),17.0,1,196.8,2020
55739,GEN2,43,Mitsubishi,MWT-600 (47m),17.0,1,196.8,2020
55740,GEN1,50,Mitsubishi,MWT-1000,12.0,1,197.0,2020
55741,A1,33,NEG-Micon,NM52/900,17.9,3,236.2,2020
55742,ER15,20,GE,1.5 S,19.0,2,213.2,2020
55747,NWP2,125,Vestas,V47-660,22.4,1,164.0,2020
55769,MADW,7,Vestas,V66-1.65,22.0,1,220.0,2020
55782,WH01,1,NEG-Micon,NM72C/1500,19.0,2,230.0,2020
55790,1,20,GE,1.5 SE,24.0,1,262.0,2020
55795,01,117,Vestas,Vestas V-47,22.4,1,164.0,2020
55796,01,125,Vestas,Vestas V-47,22.4,1,164.0,2020
55803,EW,6,GE,1.5 S,14.0,2,213.3,2020
55804,NM,88,NEG-Micon,NM52/900,19.0,2,236.0,2020
55805,G1,10,GE,1.5 S,16.0,2,213.3,2020
55809,G1,2,Micon,M750-400/100,16.0,2,180.0,2020
55816,48M,55,NEG-Micon,NM48/750,19.0,2,183.0,2020
55871,Ph 1,16,GE,1.5 SLE,14.9,4,213.0,2020
55944,BAY,2,NEG-Micon,NM52/900,15.7,3,237.0,2020
55968,WTG1,100,GE,1.5 S,18.0,2,213.3,2020
55980,1,3,Vestas,V47-660,22.4,1,213.2,2020
55981,1,3,Vestas,V47-660,22.4,1,213.2,2020
55986,WT1,44,NEG-Micon,NM72C/1500,14.0,2,229.7,2020
55989,V-47,186,Vestas,V47-660,22.4,1,164.0,2020
55992,1,107,GE,1.5 S,16.5,2,212.2,2020
55995,MWP,2,Nordex,N60/1300,17.9,1,196.9,2020
55995,MWP2,3,GE,1.5 SLE,17.9,2,262.5,2020
56001,GE15,43,GE,1.5 S,15.0,2,213.3,2020
56002,1,4,NEG-Micon,NM54/950,15.6,2,210.0,2020
56010,V-47,148,Vestas,V47-660,22.4,1,213.3,2020
56011,V-47,62,Vestas,V47-660,23.4,1,213.2,2020
56012,1,41,GE,1.5 S,20.2,2,213.2,2020
56052,GE15,20,NEG-Micon,NM72C/1500,16.0,2,262.0,2020
56054,GM1,34,NEG-Micon,NM54/950,14.0,2,236.0,2020
56054,GM2,5,NEG-Micon,NM72C/1500,14.0,2,230.0,2020
56054,GM3,2,NEG-Micon,NM82/1650,14.0,2,230.0,2020
56075,1,81,Vestas,V80-1.8,22.4,1,213.3,2020
56075,2,9,Vestas,V80-1.8,22.4,1,213.3,2020
56081,EW,45,Vestas,V82-1.65,19.0,2,262.0,2020
56092,GE15,27,GE,1.5 S,19.0,2,213.3,2020
56093,GE15,78,Vestas,V80-1.8,20.0,2,240.0,2020
56094,GE15,34,GE,1.5 S,19.0,2,213.3,2020
56094,GSOO,34,GE,1.5 S,19.0,2,213.3,2020
56097,GE15,136,GE,1.5 S,19.0,2,213.3,2020
56099,GE15,41,GE,1.5 S,19.0,2,213.3,2020
56106,KIM01,12,GE,2.5-116,18.0,2,295.3,2020
56111,GEN1,160,Mitsubishi,MWT-1000A,17.4,2,213.2,2020
56112,V47,34,Vestas,V47-660,18.7,2,200.0,2020
56123,1,7,Vestas,V82-1.65,13.0,4,210.0,2020
56142,WND1,57,GE,1.5 S,19.0,2,213.0,2020
56153,1,8,GE,1.5 S,19.0,2,262.5,2020
56160,GEN1,29,Gamesa,G126-2.5,16.0,1,275.0,2020
56162,1,36,Vestas,V82-1.65,14.5,2,229.7,2020
56172,FC,29,GE,1.5 SLE,18.4,2,262.0,2020
56173,CG,100,GE,1.62-100,15.9,3,262.0,2020
56174,MOR,34,GE,1.5 SLE,19.4,2,213.0,2020
56195,001,41,Mitsubishi,MWT-1000A,14.5,2,180.0,2020
56199,1,2,Suzlon,S64-950,17.0,3,213.0,2020
56200,I,2,Suzlon,S64-950,17.0,3,213.0,2020
56201,I,2,Suzlon,S64-950,17.0,3,213.0,2020
56202,I,2,Suzlon,S64-950,19.0,2,213.0,2020
56203,1,2,Suzlon,S64-950,17.0,3,213.0,2020
56204,1,2,Suzlon,S64-950,19.0,2,213.0,2020
56205,1,2,Suzlon,S64-950,19.0,2,213.0,2020
56206,1,2,Suzlon,S64-950,17.0,3,213.0,2020
56207,1,2,Suzlon,S64-1250,17.8,2,213.3,2020
56208,1,2,Suzlon,S64-1250,17.8,2,213.3,2020
56209,1,2,Suzlon,S64-950,17.0,3,213.0,2020
56210,1,2,Suzlon,S64-1250,17.8,2,213.3,2020
56211,SW1,25,GE,1.5 S,19.0,2,262.0,2020
56212,SW2,61,GE,1.5 SLE,19.0,2,262.0,2020
56215,A1,4,Micon,M1500-600/150,18.0,1,240.0,2020
56215,ET,1,Gamesa,AE59,18.0,1,255.9,2020
56215,ST,1,Micon,M1500-600/150,18.0,1,98.4,2020
56215,WT,1,Gamesa,G80-2.0,18.0,1,255.9,2020
56225,V90,1,Vestas,V90-3.0,20.0,1,262.5,2020
56226,1,1,Vestas,V80-1.8,14.9,1,255.9,2020
56226,2,1,Vestas,V80-1.8,15.0,1,255.9,2020
56226,3,1,Vestas,V80-1.8,14.9,1,255.9,2020
56226,4,1,Vestas,V80-1.8,15.4,1,255.9,2020
56240,1,67,Vestas,V80-1.8,17.0,2,196.8,2020
56251,INWF,107,GE,1.5-82.5,16.8,3,213.0,2020
56251,INWF2,15,Mitsubishi,MWT-1000A,16.8,3,197.0,2020
56252,CWF,100,GE,1.5-82.5,16.8,3,213.0,2020
56252,CWF2,35,Mitsubishi,MWT-1000A,16.8,3,197.0,2020
56252,CWF3,10,GE,1.6-87,16.8,3,263.0,2020
56255,1,83,Vestas,V80-1.8,16.5,2,219.8,2020
56255,2,4,Vestas,V80-1.8,16.5,2,219.8,2020
56270,1,76,GE,1.5 SLE,19.0,2,262.5,2020
56271,VEST,31,Vestas,V47-660,17.0,1,164.0,2020
56273,1,71,GE,1.5 SLE,19.0,2,262.5,2020
56273,2,27,GE,1.5 SLE,19.0,2,262.5,2020
56275,WGNS,27,Vestas,V17-90,12.0,1,80.0,2020
56276,WGNS,10,Vestas,V15,16.5,1,80.0,2020
56290,1,83,Vestas,V82-1.65,19.0,2,262.0,2020
56290,1A,37,Vestas,V82-1.65,19.0,2,262.0,2020
56290,2,20,Vestas,V82-1.65,19.0,2,262.0,2020
56290,3,55,Vestas,V82-1.65,19.0,2,262.0,2020
56291,1,142,GE,1.5 SLE,22.0,2,279.0,2020
56291,2,150,Siemens,SWT-2.3-93,22.0,2,262.4,2020
56291,3,130,GE,1.5 SLE,22.0,2,279.0,2020
56293,1,60,Mitsubishi,MWT-1000,18.5,1,226.0,2020
56293,2,20,Mitsubishi,MWT-1000,14.0,1,226.0,2020
56295,1,25,Gamesa,G87-2.0,19.0,2,223.0,2020
56296,1,67,GE,1.5 SLE,17.8,3,262.0,2020
56297,1,33,NEG-Micon,NM82/1650,21.0,2,256.0,2020
56299,1,12,Gamesa,G87-2.0,19.0,2,256.0,2020
56300,1,5,GE,1.5 SLE,19.0,2,262.0,2020
56301,1,43,GE,1.5 SLE,15.8,2,263.0,2020
56302,1,59,Mitsubishi,MWT-1000,19.0,1,196.9,2020
56303,1,100,GE,1.5 SLE,19.2,2,262.0,2020
56304,1,120,Mitsubishi,MWT-1000A,19.0,2,226.0,2020
56307,1,9,NEG-Micon,NM72C/1500,19.0,2,229.7,2020
56307,2,6,NEG-Micon,NM82/1650,19.0,2,229.7,2020
56308,1,7,GE,1.5 SLE,22.0,3,262.4,2020
56311,SW3,90,GE,1.5 SLE,19.0,2,262.0,2020
56320,1,40,GE,1.5 SLE,19.5,2,263.0,2020
56322,1,127,Vestas,V80-1.8,18.0,2,219.8,2020
56322,WH2,22,Vestas,V80-2.0,15.4,2,219.8,2020
56335,EW2,84,Vestas,V80-1.8,16.1,2,262.0,2020
56336,1,90,Mitsubishi,MWT-1000,17.3,1,226.0,2020
56337,SW4,181,Mitsubishi,MWT-1000,16.5,1,230.0,2020
56338,1,120,Vestas,V82-1.65,19.0,2,262.0,2020
56347,1,41,Vestas,V82-1.65,15.0,2,262.0,2020
56351,1,67,GE,1.5 SLE,19.0,2,265.0,2020
56351,2,32,GE,1.5 SLE,19.0,2,265.0,2020
56355,1,121,Vestas,V82-1.65,17.0,2,262.0,2020
56357,GE,12,GE,1.5 SLE,19.0,2,262.5,2020
56357,GE15,21,GE,1.5 SLE,19.0,2,262.5,2020
56359,PH2,50,GE,1.5 SLE,14.5,4,262.0,2020
56360,1,67,GE,1.5 SLE,19.0,2,262.0,2020
56361,1,133,GE,1.5 SLE,12.5,4,262.0,2020
56362,1,100,GE,1.62-100,13.5,4,262.0,2020
56369,1,23,GE,1.5 SLE,15.5,3,262.0,2020
56371,1,221,Mitsubishi,MWT-1000,16.6,1,230.0,2020
56371,2,53,GE,1.5 SLE,16.6,1,262.0,2020
56372,SW5,35,Siemens,SWT-2.3-82 VS,16.5,1,262.4,2020
56376,WTG1,1,Vestas,V82-1.65,13.7,2,235.0,2020
56377,1,90,GE,1.5 SLE,19.0,2,263.0,2020
56378,1,14,GE,1.5 SE,21.0,1,210.0,2020
56379,VWF,66,GE,1.6-87,16.8,3,263.0,2020
56380,WT1,80,GE,1.5 SLE,25.0,2,264.0,2020
56383,TOI2,48,Gamesa,G87-2.0,15.7,3,255.0,2020
56386,TOI3,18,Vestas,V82-1.65,19.0,2,262.0,2020
56391,1,88,Vestas,V82-1.65,19.0,2,213.2,2020
