Plant Code,Generator ID,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),time
56765,1,14,Gamesa,G87-2.0,16.5,3,256.0,2020
56765,2,66,Gamesa,G87-2.0,17.8,2,256.0,2020
56767,1,73,Gamesa,G87-2.0,15.1,3,256.0,2020
56770,1,51,Gamesa,G87-2.0,15.5,3,256.0,2020
56771,1,24,Vestas,V110-2.0,19.0,2,262.4,2020
56773,1,100,GE,1.5 SLE,19.5,2,263.0,2020
56774,1,113,GE,1.5 SLE,17.4,2,263.0,2020
56775,1,80,GE,1.5 SLE,18.6,2,263.0,2020
56776,1,67,GE,1.79-100,17.9,2,262.4,2020
56777,FIA,122,Vestas,V82-1.65,19.0,2,262.4,2020
56777,FIB,40,Clipper,Liberty C96,19.0,2,262.4,2020
56777,FII,133,GE,1.5 SLE,19.0,2,262.4,2020
56777,FIII,60,Vestas,V82-1.65,19.0,2,262.4,2020
56779,1,50,Vestas,V90-3.0,19.0,2,262.4,2020
56782,DIAW,20,GE,1.5 SLE,12.0,2,262.5,2020
56783,1,53,Siemens,SWT-2.3-93,27.0,2,240.0,2020
56784,1,35,Vestas,V90-3.0,18.3,2,262.0,2020
56784,2,32,Vestas,V90-3.0,17.6,2,262.0,2020
56789,1,47,Suzlon,S52,13.2,4,259.0,2020
56790,1,48,Suzlon,S88-2100,13.7,4,259.0,2020
56791,1,45,Mitsubishi,MWT-62/1.0,16.1,3,226.0,2020
56792,1,24,Suzlon,S88-2100,18.4,2,259.0,2020
56793,1,66,GE,1.5 SLE,17.6,2,262.0,2020
56794,1,33,GE,1.5 SLE,18.0,2,262.0,2020
56795,1,84,Mitsubishi,MWT-92/2.4,16.9,3,262.0,2020
56796,1,23,Gamesa,G90-2.0,16.3,3,256.0,2020
56797,1,182,Vestas,V82-1.65,15.8,2,265.0,2020
56800,HW2,1,Vestas,V80-1.8,12.0,1,220.0,2020
56804,RH,82,Acciona,AW77/1500,19.0,2,262.4,2020
56805,1,67,Acciona,AW82/1500,16.8,3,262.4,2020
56809,CWF,100,GE,1.5 SLE,16.8,3,263.0,2020
56810,AWF,76,Siemens,SWT-2.3-93,16.8,3,262.4,2020
56811,WWF,102,GE,1.5 SLE,16.8,3,263.0,2020
56818,1,33,Vestas,V90-3.0,19.7,1,262.4,2020
56819,1,20,Clipper,Liberty C96,19.0,2,262.4,2020
56823,HWFG1,72,Siemens,SWT-2.3-93,15.6,2,262.4,2020
56824,1,2,Suzlon,S88-2100,18.6,2,262.4,2020
56825,1,2,Suzlon,S88-2100,18.6,2,262.4,2020
56826,1,2,Suzlon,S88-2100,18.6,2,262.4,2020
56827,1,1,Suzlon,S88-2100,18.6,2,262.4,2020
56828,1,1,Suzlon,S88-2100,18.6,2,262.4,2020
56829,1,22,Vestas,V90-3.0,22.4,1,262.0,2020
56829,2,22,Vestas,V90-3.0,22.4,1,262.0,2020
56831,1,66,GE,1.5 SLE,17.8,2,262.0,2020
56835,1,8,Suzlon,S64-1250,18.1,2,244.4,2020
56836,1,7,Suzlon,S64-1250,18.1,2,244.4,2020
56837,1,8,Suzlon,S64-1250,18.1,2,241.1,2020
56838,1,8,Suzlon,S64-1250,18.1,2,241.1,2020
56839,1,8,Suzlon,S64-1250,18.1,2,244.4,2020
56840,1,1,Suzlon,S88-2100,18.6,2,262.4,2020
56841,1,66,GE,1.5 SLE,19.0,2,262.0,2020
56841,2,26,GE,1.5 SLE,19.0,2,262.0,2020
56842,1,66,GE,1.5 SLE,19.0,2,262.0,2020
56843,1,66,GE,1.5 SLE,19.0,2,262.0,2020
56843,2,13,GE,1.5 SLE,19.0,2,262.0,2020
56854,GEN1,46,Suzlon,S88-2100,19.0,2,262.5,2020
56855,GEN1,49,Suzlon,S88-2100,19.0,2,262.5,2020
56856,GEN1,67,GE,1.5 SLE,19.0,2,262.0,2020
56857,GEN1,70,Vestas,V112-3.0,19.0,2,308.0,2020
56858,GEN1,61,Suzlon,S88-2100,17.0,2,246.0,2020
56859,1,10,Suzlon,S88-2100,19.0,2,262.4,2020
56860,1,7,Suzlon,S88-2100,19.0,2,262.4,2020
56874,TBD,75,Senvion,MM92,19.0,2,262.4,2020
56876,TBD,67,GE,1.5 SLE,19.0,2,262.4,2020
56878,TBD,50,Senvion,MM92,19.0,2,257.5,2020
56879,1,20,Vestas,V110-2.0,19.0,3,262.4,2020
56901,1,65,GE,1.5 SLE,19.0,2,262.0,2020
56902,1,84,GE,1.5 SLE,19.0,2,262.0,2020
56904,1,71,GE,1.5 SLE,19.0,2,262.0,2020
56905,1,76,GE,1.5 SLE,19.0,2,262.0,2020
56912,GE15,27,GE,1.5 SLE,19.0,2,262.5,2020
56913,CL25,20,Clipper,Liberty C96,19.0,2,262.4,2020
56919,GE15,99,GE,1.5 SLE,19.0,2,262.5,2020
56920,1,95,GE,1.5 SLE,18.8,2,262.4,2020
56921,1,77,GE,1.5 SLE,18.1,2,262.4,2020
56923,GE15,100,GE,1.5 S,19.0,2,262.5,2020
56924,GE15,100,GE,1.5 SLE,19.0,2,262.5,2020
56925,CL25,80,Clipper,Liberty C96,19.0,2,262.4,2020
56933,1,6,Vestas,V82-1.65,14.4,2,262.4,2020
56934,1,5,Suzlon,S88-2100,15.3,2,262.4,2020
56935,1,9,Suzlon,S88-2100,15.3,2,262.4,2020
56941,1,66,GE,1.5 SLE,18.3,2,263.0,2020
56941,2,34,GE,1.5 SLE,17.2,2,263.0,2020
56941,3,33,GE,1.5 SLE,17.2,2,263.0,2020
56941,4,7,GE,1.5 SLE,17.2,2,263.0,2020
56942,1,86,GE,1.5 SLE,17.0,2,263.0,2020
56942,2,20,GE,1.5 SLE,17.0,2,263.0,2020
56945,1,40,Clipper,Liberty C96,19.0,2,262.4,2020
56946,1,9,Suzlon,S88-2100,19.0,2,262.4,2020
56947,1,27,Vestas,V90-3.0,22.0,1,262.4,2020
56952,1,48,GE,1.5 SLE,15.2,2,263.0,2020
56953,1,75,GE,1.5 SLE,15.0,2,263.0,2020
56956,001,180,Mitsubishi,MWT-62/1.0,19.0,2,226.0,2020
56959,OWF,28,Suzlon,S88-2100,14.9,2,272.0,2020
56960,HJW01,14,Suzlon,S88-2100,16.6,2,272.0,2020
56961,GE,40,GE,1.5 SLE,15.0,2,272.0,2020
56961,VESTA,56,Vestas,V82-1.65,15.8,2,272.0,2020
56967,1,3,Vestas,V82-1.65,14.4,2,262.4,2020
56968,1,1,Vestas,V82-1.65,14.4,2,262.4,2020
56969,1,5,REpower,MM92,14.4,2,257.5,2020
56970,1,5,REpower,MM92,14.4,2,257.5,2020
56971,1,6,Vestas,V82-1.65,14.6,2,262.4,2020
56972,1,5,Vestas,V82-1.65,14.6,2,262.4,2020
56973,1,6,Vestas,V82-1.65,14.6,2,262.4,2020
56974,1,2,Vestas,V82-1.65,14.4,2,262.4,2020
56975,1,4,Vestas,V82-1.65,14.6,2,262.4,2020
56979,1,133,GE,1.5 SLE,18.1,2,262.4,2020
56980,1,35,GE,1.5 SLE,17.4,2,262.4,2020
56981,1,166,GE,1.5 SLE,18.8,2,262.4,2020
56983,1,109,Vestas,V82-1.65,17.4,2,262.4,2020
56984,1,197,Mitsubishi,MWT-1000A,18.1,2,226.4,2020
56985,SMKII,99,GE,1.5 SE,24.0,1,264.0,2020
56989,1,38,GE,1.5 SLE,19.0,2,262.4,2020
56990,1,40,GE,1.5 SLE,19.0,2,262.4,2020
56991,1,17,GE,1.5 SLE,19.0,2,262.4,2020
56994,WND67,67,GE,1.5 SLE,18.0,2,262.0,2020
57002,1,48,Vestas,V112-3.0,12.9,1,277.0,2020
57031,1,33,GE,1.5 XLE,16.0,3,260.0,2020
57032,1,32,GE,1.5 SLE,16.0,3,260.0,2020
57033,1,27,GE,1.5 SLE,16.0,3,260.0,2020
57038,PHS1,16,Siemens,SWT-2.3-101,19.9,2,262.4,2020
57038,PHS2,15,Siemens,SWT-3.0-101,19.9,2,261.0,2020
57039,1,19,GE,1.5 SLE,19.0,2,262.0,2020
57040,1,66,GE,1.5 SLE,19.0,2,262.0,2020
57044,1,67,GE,1.5 SLE,19.0,2,262.0,2020
57045,1,10,Clipper,Liberty C89,22.4,1,262.4,2020
57047,1,134,GE,1.5 SLE,18.0,2,262.0,2020
57048,1,75,Vestas,V110-2.0,19.7,3,260.0,2020
57049,NGW1,71,Acciona,AW77/1500,17.0,2,262.0,2020
57050,NGW2,69,Acciona,AW77/1500,17.0,2,262.0,2020
57078,1,6,Clipper,Liberty C96,19.0,2,262.4,2020
57079,1,97,GE,1.5 XLE,13.2,3,262.4,2020
57080,1,16,Clipper,Liberty C93,18.0,2,262.4,2020
57082,1,14,GE,1.5 SE,22.0,1,212.0,2020
57083,1,19,Vestas,V100-1.8,17.0,3,312.0,2020
57087,1,12,Clipper,Liberty C96,19.0,2,262.4,2020
57090,CHWF,66,GE,1.5 SLE,15.0,2,272.0,2020
57091,SSW01,20,Suzlon,S88-2100,17.5,2,272.0,2020
57093,CWGT,11,GE,1.5 SLE,20.0,2,262.5,2020
57094,1,150,Gamesa,G87-2.0,16.1,3,256.0,2020
57095,1,84,Mitsubishi,MWT-92/2.4,16.5,3,262.0,2020
57096,1,47,Suzlon,S88-2100,15.6,3,259.0,2020
57097,1,71,Suzlon,S88-2100,16.5,3,259.0,2020
57098,1,30,Suzlon,S88-2100,15.2,3,259.0,2020
57106,1,1,GE,1.5-77,15.0,2,262.0,2020
57107,1,68,GE,1.5 SLE,19.0,2,262.0,2020
57108,GEN 1,66,GE,1.5 SLE,17.7,2,262.0,2020
57109,GEN 1,121,Vestas,V82-1.65,19.0,2,262.0,2020
57110,GEN 1,68,GE,1.5 SLE,19.0,2,262.0,2020
57111,GEN 1,61,Vestas,V82-1.65,19.0,2,262.0,2020
57112,GEN1,66,Acciona,AW82/1500,17.0,2,262.4,2020
57113,GEN 1,132,GE,1.5 SLE,19.0,2,262.0,2020
57115,GEN 1,69,GE,1.5 SLE,19.0,2,262.0,2020
57116,GEN 1,49,Vestas,V110-2.0,12.0,3,311.0,2020
57118,GEN 1,10,Suzlon,S64-1250,18.5,2,244.4,2020
57120,1,33,GE,1.5 XLE,16.8,3,262.5,2020
57121,1,80,GE,1.5 XLE,16.8,2,262.5,2020
57124,PFWP,14,GE,1.5 XLE,14.6,2,262.4,2020
57125,CRWP,15,GE,1.5 XLE,14.4,2,262.4,2020
57126,YCWP,14,GE,1.5 XLE,14.5,2,262.4,2020
57130,BR1,3,GE,1.5 SLE,19.0,2,262.0,2020
57131,SCWF1,29,Senvion,MM92,15.2,2,320.0,2020
57135,1,114,Suzlon,S88-2100,19.0,2,262.4,2020
57136,1,8,Suzlon,S88-2100,14.7,2,262.4,2020
57137,1,63,Mitsubishi,MWT-62/1.0,13.0,2,226.0,2020
57139,1,25,Nordex,N90/2500,15.0,1,262.4,2020
57151,GEN1,67,GE,1.5 SLE,17.0,2,263.0,2020
57152,HWP1,43,Siemens,SWT-2.3-93,17.6,2,260.0,2020
57153,1,100,GE,1.5 SLE,18.2,2,262.0,2020
57156,BC,60,Gamesa,G87-2.0,15.0,3,256.0,2020
57159,GEN1,114,Siemens,SWT-2.3-93,15.0,4,262.4,2020
57171,1,13,GE,1.5 SLE,12.0,2,262.5,2020
57174,CHW1,42,GE,1.6-100,18.7,2,262.4,2020
57174,CHW2,14,GE,1.7-100,18.7,2,262.4,2020
57176,FSMW,1,Gamesa,G90-2.0,15.5,2,256.0,2020
57177,GEN 1,48,Suzlon,S88-2100,19.0,2,262.4,2020
57182,1,2,GE,1.6 XLE,12.0,2,262.4,2020
57187,1,3,GE,1.5 SLE,22.0,2,253.0,2020
57187,2,3,GE,1.5 S,22.0,2,253.0,2020
57188,1,60,GE,1.5 SLE,17.4,2,263.0,2020
57189,LCW,100,GE,1.5 XLE,15.6,2,262.4,2020
57192,WTG,66,Siemens,SWT-2.3-101,16.7,2,262.4,2020
57194,GE15,66,GE,1.5 XLE,16.8,3,262.5,2020
57195,LSR 1,149,Siemens,SWT-2.3-101,15.6,2,262.4,2020
57198,1,122,Vestas,V82-1.65,16.3,2,262.0,2020
57199,1,90,Vestas,V90-1.8,19.0,2,262.5,2020
57201,S2.3,16,Siemens,SWT-2.3-108,19.0,2,262.4,2020
57210,1,122,GE,1.5 SLE,19.0,2,262.4,2020
57211,1,83,GE,1.5-82.5,19.0,2,262.4,2020
57212,1,109,Siemens,SWT-2.3-101,16.8,2,262.4,2020
57214,CAN1,1,EWT,DW54-900,12.5,2,234.0,2020
57214,CAN2,1,EWT,DW54-900,12.5,2,234.0,2020
57214,SK4,1,NEG-Micon,NM52/900,12.5,2,234.0,2020
57239,SRRW1,16,Nordex,N90/2500,19.0,2,262.0,2020
57240,SRRNW,4,Nordex,N90/2500,19.0,2,262.0,2020
57244,KCW,34,GE,1.5 SLE,16.8,2,272.0,2020
57248,WIND1,1,Suzlon,S88-2100,19.0,2,259.0,2020
57251,LAK1,7,GE,1.5 SLE,22.0,2,262.0,2020
57252,SUP1,7,GE,1.5 SLE,22.0,2,262.0,2020
57253,1,1,Fuhrlander,FL 1500-77,14.5,2,262.0,2020
57253,2,1,GE,1.5 SLE,13.7,2,262.0,2020
57253,3,1,GE,1.5 SLE,13.7,2,262.0,2020
57257,VMN82,1,Vestas,V82-1.65,18.0,2,229.6,2020
57258,1,1,Vestas,V47-660,17.5,1,220.0,2020
57258,2,1,Vestas,V47-660,17.5,1,220.0,2020
57258,3,1,Vestas,V47-660,17.5,2,220.0,2020
57260,1,150,GE,1.5 XLE,17.0,3,262.4,2020
57261,1,54,Mitsubishi,MWT-95/2.4,19.0,2,262.4,2020
57262,1,54,GE,1.5 XLE,17.0,3,262.4,2020
57263,LP1,5,DeWind,D8.2,19.7,2,262.5,2020
57264,LP2,5,DeWind,D8.2,19.7,2,262.5,2020
57268,1,19,Gamesa,G90-2.0,19.0,2,328.1,2020
57274,1,10,Suzlon,S88-2100,16.8,3,262.4,2020
57278,CWET1,22,Vestas,V90-3.0,20.0,1,262.4,2020
57282,AW01,100,GE,1.5 SLE,22.4,2,262.0,2020
57283,WTG1,40,GE,1.5 XLE,25.7,1,262.4,2020
57284,1,100,Gamesa,G90-2.0,18.3,2,328.1,2020
57285,1,25,Gamesa,G90-2.0,17.6,2,328.1,2020
57286,WT1,44,Siemens,SWT-2.3-93,17.8,2,264.0,2020
57287,1,37,Gamesa,G90-2.0,16.0,3,328.0,2020
57289,BBWP,18,Gamesa,G97-2.0,16.0,3,255.9,2020
57290,GE,15,GE,1.5 XLE,16.9,2,254.0,2020
57290,SIEM,66,Siemens,SWT-2.3-93,15.8,3,262.4,2020
57291,AW02,50,Vestas,V90-3.0,22.4,1,262.0,2020
57292,AW03,50,Vestas,V90-3.0,22.4,1,262.0,2020
57293,AW04,34,Vestas,V90-3.0,22.4,1,262.0,2020
57294,AW05,56,Vestas,V90-3.0,22.4,1,262.0,2020
57296,WIND1,1,Vestas,V82-1.65,16.0,4,230.0,2020
57296,WIND2,1,GE,1.6 XLE,16.0,4,262.4,2020
57299,1,74,GE,1.5 SLE,19.0,2,262.0,2020
57300,1,28,Clipper,Liberty C93,16.9,2,262.4,2020
57302,1,13,NedWind,NEDWIND 40,15.0,1,131.0,2020
57303,LWG1,50,GE,1.5 SLE,17.0,2,262.0,2020
57303,LWG2,50,GE,1.5 SLE,17.0,2,262.0,2020
57315,1-139,139,Vestas,V90-1.8,19.0,2,265.0,2020
57319,1,25,Gamesa,G90-2.0,14.7,3,256.0,2020
57320,1,126,Mitsubishi,MWT-95/2.4,14.2,4,262.4,2020
57325,GE1.5,145,GE,1.5 XLE,17.9,2,262.4,2020
57326,WND1,33,GE,1.5 SLE,17.4,2,270.0,2020
57327,TOTW1,110,GE,1.5 SLE,14.6,2,272.0,2020
57332,1-98,98,Siemens,SWT-2.3-101,17.8,2,264.0,2020
57333,1,117,GE,1.5 SLE,14.0,4,259.0,2020
57342,1,100,GE,1.5 XLE,16.8,3,262.5,2020
57346,1,43,Siemens,SWT-2.3-93,19.0,2,262.4,2020
57346,2,48,GE,1.5 XLE,16.8,2,262.4,2020
57347,GE1,64,GE,1.6 XLE,16.8,2,262.5,2020
57351,FA01,1,Goldwind,GW 77/1500,16.0,2,213.0,2020
57351,FA02,1,Goldwind,GW 77/1500,16.0,2,213.0,2020
57351,FA03,1,Goldwind,GW 77/1500,16.0,2,213.0,2020
57354,1,3,GE,1.5 SLE,14.5,2,262.0,2020
57357,EXIS,64,GE,1.6 SLE,14.0,2,262.0,2020
57358,1,66,Siemens,SWT-2.3-101,18.0,2,262.4,2020
57374,LAKE1,137,GE,1.5 SLE,19.0,2,262.4,2020
57375,AWG,12,Alstom,ECO86,17.7,3,262.4,2020
57379,1,31,Suzlon,S88-2100,14.8,2,256.0,2020
57380,1,19,GE,1.5 SLE,16.7,3,213.0,2020
57385,34505,12,Clipper,Liberty C96,17.4,2,262.4,2020
57386,WTG1,11,Siemens,SWT-2.3-93,19.0,2,262.4,2020
57387,GE16,39,GE,1.6 XLE,16.8,2,262.5,2020
57396,DWF,12,Alstom,ECO86,16.6,3,262.4,2020
57414,1,1,Vestas,V82-1.65,19.0,2,262.0,2020
57415,1,60,Vestas,V110-2.0,19.0,2,262.4,2020
57417,NORD,17,Nordex,N100/2500,19.0,2,328.0,2020
57421,1,64,GE,1.6 XLE,17.0,2,328.0,2020
57424,1,105,Gamesa,G87-2.0,17.5,3,256.0,2020
57427,1,10,Siemens,SWT-2.3-101,13.4,2,262.4,2020
57428,1,10,Siemens,SWT-2.3-101,13.4,2,262.4,2020
57429,1,10,Siemens,SWT-2.3-101,13.4,2,262.4,2020
57430,1,10,Siemens,SWT-2.3-101,13.4,2,262.4,2020
57431,1,10,Siemens,SWT-2.3-101,13.4,2,262.4,2020
57432,1,24,Vestas,V90-2.0,16.0,2,262.4,2020
57434,VVT,5,Gamesa,G87-2.0,13.0,2,256.0,2020
57444,1,10,Siemens,SWT-2.3-101,13.4,2,262.4,2020
57447,1,61,GE,1.6 SLE,16.1,3,262.0,2020
57449,1,152,Gamesa,G90-2.0,16.5,3,328.0,2020
57459,1,49,Mitsubishi,MWT-1000,26.8,1,196.8,2020
57463,1,113,GE,1.5 XLE,16.1,2,263.0,2020
57468,GE1.5,44,GE,1.5 XLE,16.8,2,262.5,2020
57469,GE1.5,100,GE,1.5 XLE,16.8,3,262.5,2020
57474,1,5,SANY,SE8720IIIE,18.5,2,255.9,2020
57484,GEN1,126,GE,1.5 SE,14.6,3,213.0,2020
57493,STWF,94,GE,1.6 XLE,16.6,2,262.4,2020
57500,LWF,52,Siemens,SWT-2.3-101,16.8,3,262.4,2020
57501,RHWF,193,Siemens,SWT-2.3-101,16.8,3,262.4,2020
57514,WTG,112,Siemens,SWT-2.3-108,19.0,2,262.4,2020
57516,NOVUS,40,DeWind,D9.2,18.9,2,262.5,2020
57517,FRISC,10,DeWind,D8.2,19.2,2,262.5,2020
57520,1,90,Vestas,V110-2.0,19.0,2,262.4,2020
57526,NORTH,106,GE,2.5-100,26.8,2,279.0,2020
57529,1,30,Siemens,SWT-2.3-101,13.0,2,326.0,2020
57530,1,58,Vestas,V100-1.8,17.0,3,262.0,2020
57531,1,56,Vestas,V112-3.3,22.4,1,277.0,2020
57547,WCW,2,Unison,U57,14.0,3,223.0,2020
57549,SOUTH,116,GE,2.5-100,26.8,2,279.0,2020
57550,HORSE,116,GE,2.5-100,26.8,2,279.0,2020
57553,1,8,Nordex,N100/2500,16.5,2,272.0,2020
57566,2.5P2,1,GE,2.5-120,17.9,2,262.0,2020
57566,2.8P3,1,GE,2.85-100,17.9,2,291.0,2020
57568,RHW,22,Siemens,SWT-2.3-93,17.0,2,262.4,2020
57570,WTG,3,Goldwind,GW 87/1500,13.0,3,263.0,2020
57578,PATU,6,GE,1.5 SLE,12.0,2,262.0,2020
57586,1,50,Senvion,MM92,19.0,2,262.4,2020
57590,1,62,GE,1.6 XLE,18.0,2,265.0,2020
57593,1,50,GE,1.6 XLE,17.0,3,262.4,2020
57594,WTG1,1,GE,1.5 SLE,12.0,4,262.0,2020
57595,1,23,Mitsubishi,MWT-95/2.4,19.0,2,262.4,2020
57609,1,50,Gamesa,G87-2.0,18.0,2,256.0,2020
57613,WTG1,1,Kenersys,K100 2.5,14.0,3,278.0,2020
57614,GEN1,95,Gamesa,G114-2.0,19.0,2,305.0,2020
57616,GEN1,55,Vestas,V90-1.8,17.9,2,262.4,2020
57617,GEN1,75,Vestas,V110-2.0,19.0,3,273.0,2020
57620,GEN1,55,Vestas,V100-1.8,16.8,3,311.7,2020
57621,GEN1,24,Vestas,V112-3.3,19.0,2,276.0,2020
57623,GEN1,57,Vestas,V136-3.45,18.2,3,325.0,2020
57626,WTG1,2,Mitsubishi,MWT-1000A,12.0,4,180.0,2020
57628,GEN1,56,Vestas,V110-2.0,19.0,2,311.0,2020
57631,1,1,GE,1.5-77,17.0,2,262.4,2020
57632,1,1,GE,1.5-77,17.0,2,262.4,2020
57635,LW1,25,Senvion,MM92,14.0,4,262.0,2020
57637,1,1,Nordex,N54/1000,12.3,3,229.6,2020
57638,1,1,Nordex,N54/1000,12.3,3,229.6,2020
57639,1,73,Siemens,SWT-2.3-101,16.7,2,272.0,2020
57643,V100,1,Vestas,V100-1.8,16.8,2,262.4,2020
57644,PR1,119,GE,1.68-82.5,24.0,2,328.0,2020
57648,WT1,1,Hyundai,HQ1650,20.0,2,270.0,2020
57648,WT2,1,Hyundai,HQ1650,20.0,2,270.0,2020
57649,1,62,Mitsubishi,MWT-95/2.4,18.4,2,262.4,2020
57663,1,57,Siemens,SWT-2.3-108,17.6,2,272.0,2020
57675,PTWF,94,GE,1.6 XLE,17.4,2,262.4,2020
57678,1,134,GE,1.5-82.5,18.0,2,262.4,2020
57700,1,34,Siemens,SWT-2.3-101,22.3,2,262.4,2020
57701,1,34,Siemens,SWT-2.3-93,19.0,2,262.4,2020
57721,BWP,10,GE,1.5 SLE,16.0,2,262.0,2020
57721,HN-8,1,GE,2.3-116,16.0,2,262.5,2020
57721,HN-9,1,GE,2.3-116,16.0,2,262.5,2020
57725,1,58,Senvion,MM92,19.0,2,257.5,2020
57732,UMM1,1,Vestas,V82-1.65,18.0,2,265.0,2020
57741,SP111,1,Suzlon,S111,16.8,3,295.0,2020
57741,SP97,1,Suzlon,S97-2100,16.8,3,295.0,2020
57744,1,30,Siemens,SWT-2.3-108,12.8,2,272.0,2020
57748,DAW,1,GE,2.5-116,21.0,1,295.3,2020
57748,GBW,6,GE,1.5 SLE,21.0,1,262.0,2020
57748,OSR,1,GE,2.5-116,21.0,1,295.3,2020
57748,SOR,1,GE,2.5-116,21.0,1,295.3,2020
57749,ST,14,GE,1.6 XLE,12.0,3,262.5,2020
57751,1,87,Siemens,SWT-2.3-108,13.9,2,272.0,2020
57752,1,84,Mitsubishi,MWT-102/2.4,14.8,2,272.0,2020
57755,PETE,27,GE,1.5 XLE,19.0,2,262.4,2020
57756,1,4,GE,1.5 SLE,12.0,2,265.0,2020
57757,1,75,Senvion,MM92,19.0,2,257.5,2020
57760,PCWPS,9,Nordex,N100/2500,17.2,2,262.0,2020
57761,PCWPN,9,Nordex,N100/2500,17.2,2,262.0,2020
57762,CPV1,72,Siemens,SWT-2.3-108,14.0,3,297.0,2020
57766,RLWF,44,Vestas,V100-1.8,15.4,3,262.5,2020
57767,1,1,VENSYS,VENSYS77,16.5,2,281.0,2020
57769,1,88,GE,1.6-82.5,19.0,2,328.0,2020
57774,WGNS,60,Gamesa,G80-2.0,27.0,1,220.0,2020
57775,WGNS,5,Gamesa,G90-2.0,27.0,3,256.0,2020
57787,1,294,GE,1.6-100,16.8,3,262.4,2020
57791,WTG1,1,GE,1.5 SLE,13.4,4,213.0,2020
57792,WTG1,1,Mitsubishi,MWT-1000A,12.0,4,180.0,2020
57800,BISO2,35,Siemens,SWT-3.0-101,19.9,1,261.0,2020
57801,BISO3,35,Siemens,SWT-3.0-101,19.9,1,260.0,2020
57802,MV1,112,Vestas,V100-1.8,16.6,3,262.4,2020
57803,T1-6,6,Nordtank,NTK 500/41,16.3,2,131.0,2020
57813,TURB1,1,Clipper,Liberty C96,15.0,2,262.4,2020
57813,TURB2,1,Clipper,Liberty C96,15.0,2,262.4,2020
57823,WTG1,1,Vestas,V82-1.65,18.0,2,235.0,2020
57830,NORD,20,Nordex,N100/2500,19.0,2,328.0,2020
57832,NORD,15,Nordex,N100/2500,19.0,2,328.0,2020
57833,AW06,50,Vestas,V90-3.0,22.4,1,262.4,2020
57834,AW07,56,Vestas,V90-3.0,18.7,2,262.5,2020
57835,AW08,50,Vestas,V90-3.0,18.0,2,262.4,2020
57837,AW09,44,Vestas,V90-3.0,18.6,2,262.5,2020
57844,1,60,Vestas,V82-1.65,17.7,2,262.0,2020
57851,1,40,GE,1.6-100,17.0,3,328.0,2020
57852,1,20,GE,1.6-100,17.0,3,328.0,2020
57853,1,9,GE,1.6-100,17.0,3,328.0,2020
57855,1,1,GE,1.6-82.5,15.3,3,300.0,2020
57858,1,111,Vestas,V90-1.8,23.0,2,344.0,2020
57862,1,125,GE,1.6 XLE,18.1,2,328.0,2020
57866,PWR,34,Siemens,SWT-2.3-101,19.3,2,262.4,2020
57867,1,25,Senvion,MM92,19.0,2,262.4,2020
57867,2,2,Senvion,MM92,19.0,2,262.4,2020
57873,EWF,87,Siemens,SWT-2.3-108,16.8,3,262.4,2020
57874,VIIWF,19,Siemens,SWT-2.3-108,16.8,3,262.4,2020
57874,VIWF,45,Siemens,SWT-2.3-108,16.8,3,262.4,2020
57875,MLWF,44,Siemens,SWT-2.3-108,16.8,3,262.4,2020
57880,1,1,Clipper,Liberty C96,19.0,2,262.4,2020
57887,1,13,Suzlon,S97-2100,14.1,3,295.3,2020
57888,1,33,Vestas,V100-1.8,15.2,3,311.7,2020
57889,NOVII,20,DeWind,D9.2,18.8,2,262.5,2020
57890,1,32,Vestas,V100-1.8,15.4,3,262.4,2020
57913,1,57,GE,1.5 S,16.2,3,262.0,2020
57927,1,101,Gamesa,G97-2.0,15.7,3,295.0,2020
57935,EVW,12,REpower,MM92,16.5,3,262.0,2020
57947,GEN,28,Vestas,V100-1.8,13.4,3,262.4,2020
57956,1,63,GE,1.6 XLE,18.0,2,265.0,2020
57962,BT1,34,Vestas,V90-3.0,18.0,1,278.0,2020
57963,MS01,7,Goldwind,GW 87/1500,22.0,3,246.0,2020
57964,1,71,Goldwind,GW 82/1500,17.0,3,328.1,2020
57965,MS02,7,Goldwind,GW 87/1500,22.0,3,246.0,2020
57968,CGWF,2,Clipper,Liberty C96,15.0,2,328.0,2020
57973,GEN1,70,Siemens,SWT-2.3-101,19.0,2,262.4,2020
57974,GEN1,100,GE,1.5 SLE,19.0,2,262.4,2020
57975,GEN1,63,GE,1.6 XLE,19.0,2,262.4,2020
57976,1,40,Gamesa,G97-2.0,20.0,2,328.0,2020
57979,KCW,21,Vestas,V112-3.0,17.0,2,275.0,2020
57980,WTG,16,Vestas,V100-1.8,22.0,2,263.0,2020
57981,GEN1,75,Gamesa,G90-2.0,18.1,2,328.1,2020
57983,1,118,GE,1.79-100,14.9,2,262.5,2020
57983,2,92,GE,1.79-100,14.9,2,262.5,2020
57984,LWEP,56,Vestas,V100-1.8,16.7,3,311.0,2020
57987,1,135,REpower,MM92,19.0,3,273.0,2020
57991,1,30,Nordex,N100/2500,19.0,2,328.1,2020
57995,RR,126,Acciona,AW77/1500,18.0,2,262.0,2020
57996,AWET,8,Siemens,SWT-3.0-101,24.6,1,261.0,2020
57998,1,68,Senvion,MM92,19.0,2,328.1,2020
57999,1,15,Gamesa,G97-2.0,16.8,3,295.3,2020
